C:\mbw\results\A16_244.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri 18-Jan-2019  5:22
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	1	2	3	4	5	6	
A	306	293	368	340	383	394	
B	348	370	265	255	208	227	
C	216	199	249	265	302	325	
D	358	358	386	377	370	397	

End of plate 14
Plate 15
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  15/Shelf:15/4*6


CCPM1

 	1	2	3	4	5	6	
A	385	416	435	438	429	388	
B	356	283	284	281	307	305	
C	311	320	386	403	411	410	
D	471	451	468	501	465	463	

End of plate 15
Plate 16
Cassette information:
Assay:-/Prot:-/Cass:-/Func:STOP/Cassette no:  16/Shelf:16/4*6


CCPM1

 	1	2	3	4	5	6	
A	456	451	487	481	477	431	
B	343	359	418	428	438	537	
C	460	503	303	286	334	313	
D	344	346	16	18	17	19	

End of plate 16
Total count rate:   122495.5 CCPM
END
